,MSE,MAE,Accuracy
0,7.646899700164795,2.1896302700042725,0.8524590134620667
1,5.031120777130127,1.7244144678115845,0.9836065769195557
2,4.493532657623291,1.5520377159118652,0.9508196711540222
3,4.088174343109131,1.4865211248397827,0.9180327653884888
4,2.864260673522949,1.2197895050048828,0.9344262480735779
5,2.1644999980926514,1.0318127870559692,0.9833333492279053
6,2.2290689945220947,1.0072789192199707,0.949999988079071
7,1.328167200088501,0.6902705430984497,0.9666666388511658
8,1.461795687675476,0.8823376893997192,0.949999988079071
9,0.9433097243309021,0.6879777312278748,0.9833333492279053
