,MSE,MAE,Accuracy
0,4.520781517028809,1.776144027709961,0.868852436542511
1,4.121539115905762,1.5797442197799683,0.9508196711540222
2,2.575429916381836,1.2109270095825195,0.9344262480735779
3,2.4354705810546875,1.2779074907302856,0.868852436542511
4,3.4399573802948,1.4618088006973267,0.9180327653884888
5,2.707796335220337,1.2879315614700317,0.9833333492279053
6,1.3095703125,0.9411171674728394,0.8999999761581421
7,1.810112714767456,1.0962468385696411,0.949999988079071
8,2.1933724880218506,1.0809534788131714,0.949999988079071
9,1.192455530166626,0.8662786483764648,1.0
