,MSE,MAE,Accuracy
0,4.891842842102051,1.7569154500961304,0.8524590134620667
1,3.5225799083709717,1.490386724472046,0.9180327653884888
2,3.024298667907715,1.2330350875854492,0.9344262480735779
3,2.5677409172058105,1.2448867559432983,0.8852459192276001
4,2.688585042953491,1.2480355501174927,0.868852436542511
5,2.113997220993042,1.1166611909866333,0.9666666388511658
6,1.2614858150482178,0.8787694573402405,0.8666666746139526
7,1.6671305894851685,0.9542273879051208,0.9666666388511658
8,2.073491334915161,0.9929647445678711,0.949999988079071
9,1.066096544265747,0.8072443604469299,0.9833333492279053
