"MSE.UK","MAE.UK","ACC.UK","MSE.OK","MAE.OK","ACC.OK","MSE.SK","MAE.SK","ACC.SK","MSE.FRK","MAE.FRK","ACC.FRK"
3.75664680953336,1.33161401325341,0.916666666666667,3.99991069448966,1.40469943830769,0.916666666666667,3.96688965859341,1.39783571146579,0.916666666666667,2.96948424949051,1.34316712830464,0.916666666666667
4.00001495889997,1.54945340405637,0.819672131147541,4.25379592745059,1.58616607301246,0.836065573770492,4.35788108572348,1.60918080555623,0.836065573770492,4.34966333216009,1.4746537757255,0.836065573770492
3.54828972971701,1.42179332676613,0.918032786885246,3.6723225581743,1.45005477201228,0.918032786885246,3.70421677407241,1.45102463037658,0.918032786885246,4.41968380122154,1.5537048554344,0.934426229508197
3.99103160400915,1.47568477694396,0.885245901639344,3.77813679262868,1.41599784001647,0.901639344262295,3.81543847179984,1.42637512721308,0.901639344262295,3.13636463982774,1.32539964738234,0.901639344262295
2.39949761155573,1.27981007748355,0.868852459016393,2.41367041031971,1.29568558279783,0.836065573770492,2.46442070213748,1.30189556178153,0.836065573770492,2.24255747789728,1.13745627265798,0.852459016393443
2.83028810465747,1.24622581930414,0.816666666666667,2.67547535430146,1.22019146226972,0.833333333333333,2.66853689496278,1.21010871679656,0.833333333333333,3.88918697728374,1.53913759308212,0.816666666666667
2.74238789796201,1.28816177422065,0.916666666666667,2.74760054093732,1.30992080916692,0.916666666666667,2.76976392996476,1.32114340843649,0.916666666666667,4.07663123192475,1.41578251925689,0.866666666666667
4.69184180876028,1.57089792899364,0.916666666666667,4.86124042216908,1.63792928811527,0.9,4.83678745516375,1.63009343779997,0.9,3.93958601636575,1.42290917947592,0.883333333333333
4.05198692959922,1.54465468805019,0.866666666666667,4.30119783826078,1.62657054475602,0.866666666666667,4.34229276440422,1.6377942613118,0.866666666666667,4.93149814862968,1.58160386640566,0.883333333333333
4.32900473777245,1.52149342463143,0.9,4.21572113447014,1.49219103457172,0.916666666666667,4.33207226118122,1.50816101075539,0.916666666666667,3.27330171239404,1.40585491187427,0.933333333333333
