,MSE,MAE,Accuracy,MSE,MAE,Accuracy,MSE,MAE,Accuracy,MSE,MAE,Accuracy,MSE,MAE,Accuracy
0,4.786815166473389,1.7508138418197632,0.8524590134620667,4.976881504058838,1.8081940412521362,0.8360655903816223,4.553184986114502,1.6997225284576416,0.8196721076965332,7.245109558105469,1.9883288145065308,0.8852459192276001,5.087355136871338,1.776092767715454,0.8360655903816223
1,4.741024971008301,1.6841540336608887,0.9344262480735779,3.638240337371826,1.4997961521148682,0.9344262480735779,4.982699871063232,1.7036961317062378,0.9180327653884888,6.336548805236816,1.9477919340133667,0.868852436542511,3.470930814743042,1.3913460969924927,0.9508196711540222
2,3.295619010925293,1.370826005935669,0.9508196711540222,3.1871933937072754,1.343589425086975,0.9016393423080444,2.632378339767456,1.2690677642822266,0.9672130942344666,4.159190654754639,1.493208646774292,0.9180327653884888,2.3315587043762207,1.1416455507278442,0.9180327653884888
3,3.2546186447143555,1.3191380500793457,0.9344262480735779,2.5034587383270264,1.322011947631836,0.8852459192276001,2.7291419506073,1.2061880826950073,0.9344262480735779,5.674506664276123,1.9350590705871582,0.8852459192276001,2.714534044265747,1.118038535118103,0.9180327653884888
4,3.3546671867370605,1.2938512563705444,0.8852459192276001,4.461108684539795,1.681910753250122,0.868852436542511,2.0827572345733643,0.9861383438110352,0.9016393423080444,4.649540901184082,1.6242691278457642,0.8196721076965332,1.7154293060302734,0.9000289440155029,0.9180327653884888
5,1.5087958574295044,0.8780357241630554,0.9833333492279053,2.1453638076782227,1.1981182098388672,0.9333333373069763,1.346091389656067,0.8279954195022583,0.9666666388511658,5.049658298492432,1.6934610605239868,0.949999988079071,1.4705653190612793,0.8690592646598816,0.9833333492279053
6,1.284994125366211,0.7894284725189209,0.8666666746139526,1.2960584163665771,0.9449043869972229,0.9333333373069763,1.1517542600631714,0.7660291194915771,0.9166666865348816,5.145051002502441,1.7429006099700928,0.8500000238418579,1.0085737705230713,0.712426483631134,0.9166666865348816
7,1.1338413953781128,0.7346338629722595,0.9666666388511658,1.9377707242965698,1.155251383781433,0.949999988079071,1.5507428646087646,0.7286871671676636,0.949999988079071,4.142617225646973,1.392272710800171,0.949999988079071,0.765893280506134,0.6339311003684998,0.9666666388511658
8,1.7766807079315186,0.9244185090065002,0.8999999761581421,2.871380567550659,1.2001729011535645,0.8999999761581421,1.6528040170669556,0.8032806515693665,0.8999999761581421,5.766653537750244,1.7029823064804077,0.8999999761581421,1.139083981513977,0.7381069660186768,0.9166666865348816
9,0.8010494112968445,0.6698941588401794,0.9666666388511658,1.6653709411621094,1.071342945098877,0.949999988079071,0.8082684874534607,0.5336816310882568,0.9666666388511658,3.632274866104126,1.3908870220184326,0.949999988079071,0.6711883544921875,0.5665392279624939,0.9833333492279053
