,0,1,2,3,4,5,6,7,8,9
0,3.8375,9.9291665,1.0208335,3.66944433333333,4.6125,2.0416665,5.0208335,8.5208335,5.9391305,4.2041665
1,10.0130435,12.2041665,5.73194433333333,5.91875,4.3166665,1.9083335,3.5208335,4.0208335,2.9291665,3.9949073888888904
2,8.9291665,12.5208335,7.2041665,2.4291665,9.483635166666666,7.0416665,1.7458335,5.4291665,6.50555566666667,12.5208335
3,10.5416665,6.8375,8.6479165,6.7104165,11.9041666666667,5.9291665,6.2458335,4.8,1.725,14.0416665
4,7.1295455,10.4,9.0,11.6912036111111,2.1333335,12.0125,9.861111,5.8083335,4.6,9.8166665
5,10.1194443333333,8.0,4.8270835,9.604348,9.5,11.5,7.2208335,7.7333335,15.338889,6.4125
6,7.457143,11.6,2.9894097916666675,12.4695653333333,12.1833333333333,5.6,10.4391305,6.3229165,12.20625,6.325
7,9.5395835,0.840476,8.1125,6.1125,13.3444443333333,3.80833333333333,7.48958333333333,3.4,11.677083416666651,11.9125
8,6.4083335,8.0,2.0416665,6.425,8.2166665,13.77847216666665,7.2458335,15.0,3.6173915,10.8727084
9,12.538541666666676,6.331818,6.961111,10.64375,12.7643308333333,2.1,9.128261,5.999907372222221,5.8375,10.4
10,12.0125,8.01875,6.4083335,11.3083335,14.2333335,9.72847233333333,17.769231,11.19305558333335,12.7173915,10.3083335
11,2.8,10.42708325,5.440909,12.855160500000002,12.3416665,13.3,16.65,12.6,11.907143,9.6
12,4.769231,9.54375,11.9083335,10.0375,11.7847223333333,4.3125,5.725,15.1363636666667,13.2229165,9.6
13,7.8,6.049094083333335,3.8,10.4,13.725,2.8125,0.615909,14.121875,7.7,2.9000000000000004
14,7.25942033333333,3.3,12.4083335,6.5354165,11.0,11.3,11.9354165,15.1166666666667,8.1369565,9.525
15,5.45,8.10555566666667,5.1369565,6.6479165,5.2458335,6.7,3.7,17.6652175,5.79166666666667,12.600463
16,18.3020835,7.0,13.2,9.5,6.0,7.7458335,10.5,13.2458335,6.7541667499999996,9.85
17,6.28472233333333,15.54375,16.33628475,12.5,12.511111166666652,9.4320833,11.898611,4.6,9.0625,13.251904714285715
18,10.925,3.7041665,2.1,4.9,6.5041665,16.4,7.60625,5.8,13.50416675,6.721739
19,12.426087,7.3145835,6.2166665,11.5416665,18.864236208333324,11.5875,3.9208335,10.0375,4.2041665,13.119907444444435
20,3.05625,11.634722166666648,11.46416666666666,2.935,5.3322917499999996,15.196527833333349,7.1395835,7.729412,8.113889,10.31
21,4.9,11.181219916666649,9.700000000000001,8.6,5.7130435,5.721739,6.203381666666666,4.3,15.3,12.6
22,13.9,11.2694443333333,12.6333335,13.9,8.85833333333333,5.4,14.83611125,13.0,4.1125,14.35486108333335
