,MSE,MAE,Accuracy
0,5.22200870513916,1.7071912288665771,0.868852436542511
1,5.051492691040039,1.6637530326843262,0.868852436542511
2,2.6662442684173584,1.2504419088363647,0.9016393423080444
3,5.031426906585693,1.619686245918274,0.8852459192276001
4,4.758492946624756,1.6760941743850708,0.9016393423080444
5,4.146642684936523,1.5440449714660645,0.9333333373069763
6,3.501627206802368,1.3953540325164795,0.8666666746139526
7,3.4592602252960205,1.3337459564208984,0.949999988079071
8,4.55087423324585,1.5060783624649048,0.9166666865348816
9,2.7875680923461914,1.1391775608062744,0.9333333373069763
