,MSE,MAE,Accuracy,MSE,MAE,Accuracy,MSE,MAE,Accuracy,MSE,MAE,Accuracy,MSE,MAE,Accuracy
0,7.7229814529418945,2.1211297512054443,0.868852436542511,8.214499473571777,2.2558107376098633,0.8852459192276001,6.094902992248535,1.7920231819152832,0.8852459192276001,8.095887184143066,2.0851333141326904,0.8852459192276001,7.48447322845459,2.102052688598633,0.8196721076965332
1,4.305330753326416,1.4847289323806763,0.9016393423080444,4.825023174285889,1.640224814414978,0.9016393423080444,3.617192506790161,1.3632493019104004,0.8852459192276001,4.136605262756348,1.5158941745758057,0.9180327653884888,5.869838237762451,1.7630237340927124,0.9180327653884888
2,3.2492823600769043,1.294772982597351,0.9016393423080444,4.217791557312012,1.550114393234253,0.9344262480735779,1.737837791442871,0.9299519062042236,0.8852459192276001,5.739215850830078,1.7131940126419067,0.8524590134620667,4.7578864097595215,1.5800658464431763,0.9180327653884888
3,4.293383598327637,1.5276621580123901,0.9836065769195557,4.910898208618164,1.7642565965652466,0.9344262480735779,2.125274658203125,1.057664155960083,0.9344262480735779,5.520081996917725,1.6834657192230225,0.9180327653884888,5.025062561035156,1.6312743425369263,0.9180327653884888
4,3.157222032546997,1.3554366827011108,0.9672130942344666,3.947687864303589,1.6974537372589111,0.9508196711540222,2.0667643547058105,0.9267802834510803,0.9836065769195557,6.287723541259766,1.9449700117111206,0.9344262480735779,4.550626277923584,1.5207624435424805,0.9508196711540222
5,1.426923394203186,0.9910104870796204,0.9333333373069763,1.837560772895813,1.1402827501296997,0.9333333373069763,1.0295330286026,0.7036632299423218,0.9333333373069763,3.2830917835235596,1.341865062713623,0.8666666746139526,1.4812054634094238,0.9250266551971436,0.9666666388511658
6,1.4958877563476562,0.9956439733505249,0.949999988079071,1.7826975584030151,1.0843040943145752,0.949999988079071,0.7574666142463684,0.5963116884231567,0.9333333373069763,2.667208194732666,1.2540736198425293,0.9166666865348816,1.2280291318893433,0.8511345982551575,0.949999988079071
7,1.659693956375122,1.0481516122817993,0.9166666865348816,2.1467983722686768,1.22709321975708,0.8666666746139526,0.8940619826316833,0.6485170722007751,0.9333333373069763,4.15415096282959,1.4943934679031372,0.9333333373069763,1.0061191320419312,0.7151020169258118,0.8833333253860474
8,3.983307361602783,1.4539073705673218,0.9666666388511658,3.2775986194610596,1.3740851879119873,0.9333333373069763,1.3346755504608154,0.703654408454895,0.9333333373069763,7.650980472564697,2.139575719833374,0.8999999761581421,2.180502414703369,0.9660853147506714,0.949999988079071
9,1.4823658466339111,0.9845937490463257,0.949999988079071,1.8309305906295776,1.1067051887512207,0.949999988079071,0.3517433702945709,0.44201454520225525,0.9833333492279053,3.9212803840637207,1.5049716234207153,0.8833333253860474,1.14786696434021,0.6766239404678345,0.9666666388511658
