"MSE.UK","MAE.UK","ACC.UK","MSE.OK","MAE.OK","ACC.OK","MSE.SK","MAE.SK","ACC.SK","MSE.FRK","MAE.FRK","ACC.FRK"
1.95243841531786,1.07653555325553,0.918032786885246,2.09129142527334,1.12921396087943,0.901639344262295,2.04659055519227,1.10328436574565,0.901639344262295,2.54261827364268,1.21982625215235,0.918032786885246
3.88818038118326,1.46400141222913,0.868852459016393,3.86564507574828,1.46961476239532,0.836065573770492,3.89447465486114,1.47584660868076,0.836065573770492,3.8443601439706,1.47265387838675,0.885245901639344
4.24336131369396,1.62107414667927,0.836065573770492,3.98793361273237,1.58296796964414,0.852459016393443,4.00383593891756,1.57970583676096,0.852459016393443,4.24304519556513,1.59395112436218,0.819672131147541
4.21074770427399,1.476425751033,0.885245901639344,4.5383185619717,1.53244892476894,0.885245901639344,4.57857384438245,1.53754716868208,0.885245901639344,4.90088284366924,1.59669564535085,0.885245901639344
3.57632074251813,1.34614094665783,0.885245901639344,3.49738443383729,1.35444070169706,0.868852459016393,3.53223705806901,1.35630473025426,0.885245901639344,3.83704877406167,1.38490842797824,0.901639344262295
3.45953080875392,1.50391127645758,0.916666666666667,3.42258177918026,1.50549219345694,0.933333333333333,3.57600293657892,1.54577902427689,0.933333333333333,3.3769616504094,1.48225816875316,0.916666666666667
2.36408732710926,1.15564404610051,0.915254237288136,2.51195177385669,1.23980705069016,0.898305084745763,2.51065726012064,1.23521119488551,0.898305084745763,2.40605551681463,1.15899912860186,0.915254237288136
5.1365922559729,1.60337224638878,0.916666666666667,5.20640555475716,1.62152065106738,0.916666666666667,5.19974809273492,1.62775190077538,0.916666666666667,5.20406280343035,1.65620173581561,0.916666666666667
2.3180619756306,1.2310917490609,0.85,2.54154469201798,1.25979234713091,0.883333333333333,2.60923931793658,1.28195302698574,0.883333333333333,2.42324164108585,1.24851589874744,0.85
4.1553135295779,1.52957005979891,0.883333333333333,4.03949448198385,1.4965490065791,0.866666666666667,4.06192917958085,1.50452451975997,0.866666666666667,3.79595832220511,1.45706200519611,0.916666666666667
